match,played,result
México-Sudáfrica,true,2-0
Corea_del_Sur-Chequia,true,2-1
Canadá-Bosnia_y_Herzegovina,true,1-1
Estados_Unidos-Paraguay,true,4-1
Catar-Suiza,true,1-1
Brasil-Marruecos,true,1-1
Haití-Escocia,true,0-1
Australia-Turquía,true,2-0
Alemania-Curazao,true,7-1
Países_Bajos-Japón,true,2-2
Costa_de_Marfil-Ecuador,true,1-0
Suecia-Túnez,true,5-1
España-Cabo_Verde,true,0-0
Bélgica-Egipto,true,1-1
Arabia_Saudí-Uruguay,true,1-1
Irán-Nueva_Zelanda,true,2-2
Francia-Senegal,true,3-1
Irak-Noruega,true,1-4
Argentina-Argelia,true,3-0
Austria-Jordania,true,3-1
Portugal-RD_Congo,true,1-1
Inglaterra-Croacia,true,4-2
Ghana-Panamá,true,1-0
Uzbekistán-Colombia,true,1-3
Chequia-Sudáfrica,true,1-1
Suiza-Bosnia_y_Herzegovina,true,4-1
Canadá-Catar,true,6-0
México-Corea_del_Sur,true,1-0
Estados_Unidos-Australia,true,2-0
Escocia-Marruecos,true,0-1
Brasil-Haití,true,3-0
Turquía-Paraguay,true,0-1
Países_Bajos-Suecia,true,5-1
Alemania-Costa_de_Marfil,true,2-1
Ecuador-Curazao,true,0-0
Túnez-Japón,true,0-4
España-Arabia_Saudí,true,4-0
Bélgica-Irán,true,0-0
Uruguay-Cabo_Verde,true,2-2
Nueva_Zelanda-Egipto,true,1-3
Argentina-Austria,true,2-0
Francia-Irak,true,3-0
Noruega-Senegal,true,3-2
Jordania-Argelia,true,1-2
Portugal-Uzbekistán,true,5-0
Inglaterra-Ghana,true,0-0
Panamá-Croacia,true,0-1
Colombia-RD_Congo,true,1-0
Suiza-Canadá,true,2-1
Bosnia_y_Herzegovina-Catar,true,3-1
Escocia-Brasil,false
Marruecos-Haití,false
Chequia-México,false
Sudáfrica-Corea_del_Sur,false
Curazao-Costa_de_Marfil,false
Ecuador-Alemania,false
Japón-Suecia,false
Túnez-Países_Bajos,false
Turquía-Estados_Unidos,false
Paraguay-Australia,false
Noruega-Francia,false
Senegal-Irak,false
Cabo_Verde-Arabia_Saudí,false
Uruguay-España,false
Egipto-Irán,false
Nueva_Zelanda-Bélgica,false
Panamá-Inglaterra,false
Croacia-Ghana,false
Colombia-Portugal,false
RD_Congo-Uzbekistán,false
Argelia-Austria,false
Jordania-Argentina,false
